Ax      Bx     Ay      By     Az      Bz     label
0.1392 -0.1210 0.3027 -0.0765 0.3334 -0.0779 3
0.3246 -0.0912 0.4389 -0.0768 0.4046 -0.0778 3
0.0863 -0.6406 0.3207 -0.0768 0.3481 -0.0784 3
0.0601 -0.1322 0.1131 -0.0784 0.1224 -0.0788 3
0.1408 -0.1339 0.3793 -0.0764 0.3478 -0.0780 3
0.1789 -0.0994 0.3004 -0.0770 0.3075 -0.0783 3
0.0717 -0.4198 0.2513 -0.0793 0.2672 -0.0780 3
0.0992 -0.0489 0.0928 -0.0486 0.0521 -0.0730 4
0.1347 -0.0498 0.1244 -0.0492 0.0605 -0.0737 4
0.0957 -0.0462 0.0520 -0.0737 0.1165 -0.0490 4
0.1140 -0.0490 0.0687 -0.0735 0.1308 -0.0508 4
0.0996 -0.0499 0.0791 -0.0464 0.0402 -0.0732 4
0.0507 -0.0726 0.0795 -0.0473 0.0918 -0.0487 4
0.0860 -0.0471 0.0789 -0.0496 0.0371 -0.0709 4
0.0977 -0.0489 0.0919 -0.0478 0.0508 -0.0734 4
0.0821 -0.0466 0.0963 -0.0485 0.0445 -0.0727 4
0.1031 -0.0503 0.0930 -0.0488 0.0528 -0.0730 4
0.0478 -0.0728 0.0858 -0.0480 0.0833 -0.0485 4
0.0889 -0.0486 0.0889 -0.0478 0.0431 -0.0731 4
0.0736 -0.0476 0.0725 -0.0459 0.0387 -0.0729 4
0.0701 -0.0470 0.0871 -0.0494 0.0454 -0.0724 4
0.0906 -0.0481 0.0520 -0.0727 0.0964 -0.0480 4
0.1322 -0.0447 0.0796 -0.0598 0.1545 -0.0460 4
0.1472 -0.0451 0.0975 -0.0608 0.1541 -0.0455 4
0.1349 -0.0445 0.0694 -0.0573 0.1106 -0.0427 4
0.1352 -0.0464 0.0961 -0.0590 0.1511 -0.0458 4
0.1149 -0.0442 0.0849 -0.0574 0.1373 -0.0456 4
0.1083 -0.0401 0.1093 -0.0544 0.1769 -0.0453 4
0.1559 -0.0445 0.1044 -0.0580 0.1653 -0.0429 4
0.1062 -0.0441 0.0668 -0.0574 0.0973 -0.0433 4
0.1723 -0.0449 0.1123 -0.0578 0.1021 -0.0414 4
0.1297 -0.0440 0.0777 -0.0572 0.1535 -0.0460 4
0.1254 -0.0448 0.0623 -0.0586 0.0870 -0.0403 4
0.1115 -0.0457 0.0575 -0.0551 0.0965 -0.0443 4
0.1658 -0.0462 0.1100 -0.0603 0.1593 -0.0459 4
0.1478 -0.0440 0.0782 -0.0563 0.1411 -0.0439 4
0.1022 -0.0636 0.1857 -0.0456 0.1674 -0.0455 4
0.1332 -0.0641 0.2131 -0.0454 0.1974 -0.0460 4
0.0774 -0.0608 0.1432 -0.0451 0.1692 -0.0459 4
0.1120 -0.0617 0.1775 -0.0451 0.1590 -0.0458 4
0.1365 -0.0445 0.0985 -0.0610 0.1448 -0.0439 4
0.0880 -0.0630 0.1919 -0.0464 0.1662 -0.0460 4
0.0934 -0.0662 0.1939 -0.0455 0.1721 -0.0449 4
0.0960 -0.0607 0.2062 -0.0459 0.1789 -0.0457 4
0.1327 -0.0432 0.1393 -0.0432 0.0517 -0.0597 4
0.1734 -0.0461 0.0652 -0.0588 0.1531 -0.0452 4
0.0861 -0.0640 0.1526 -0.0449 0.1796 -0.0454 4
0.0603 -0.0591 0.1099 -0.0422 0.1193 -0.0447 4
0.0763 -0.0618 0.1426 -0.0442 0.1355 -0.0433 4
0.1357 -0.0576 0.1973 -0.0468 0.1520 -0.0458 4
0.0807 -0.0629 0.1679 -0.0454 0.1581 -0.0448 4
0.0905 -0.0452 0.0617 -0.0419 0.0455 -0.0732 4
0.0226 -0.0405 0.0372 -0.0506 0.0189 -0.0749 4
0.0660 -0.0498 0.0415 -0.0408 0.0281 -0.0726 4
0.0202 -0.0718 0.0345 -0.0390 0.0573 -0.0467 4
0.0318 -0.0335 0.0437 -0.0401 0.0287 -0.0732 4
0.0341 -0.0729 0.0799 -0.0479 0.0752 -0.0467 4
